42,42 Coin
300,300 token
365,365Coin
404,404Coin
433,433 Token
611,SixEleven
808,808
888,Octocoin
1337,EliteCoin
1717,1717 Masonic Commemorative Token
2015,2015 coin
BTCD,BitcoinDark
CRAIG,CraigsCoin
XBS,Bitstake
XPY,PayCoin
PRC,ProsperCoin
YBC,YbCoin
DANK,DarkKush
GIVE,GiveCoin
KOBO,KoboCoin
DT,DarkToken
CETI,CETUS Coin
SUP,Supcoin
XPD,PetroDollar
GEO,GeoCoin
CHASH,CleverHash
NXTI,NXTI
WOLF,Insanity Coin
XDP,DogeParty
AC,Asia Coin
ACOIN,ACoin
AERO,Aero Coin
ALF,AlphaCoin
AEGIS,Aegis
AMERICANCOIN,AmericanCoin
ALIEN,AlienCoin
ARCH,ArchCoin
ARG,Argentum
AURORAC,Auroracoin
AXR,AXRON
BETACOIN,BetaCoin
BEAN,BeanCash
BLU,BlueCoin
BOST,BoostCoin
BQC,BQCoin
MOONC,MoonCoin
ZET,ZetaCoin
SXC,SexCoin
QTL,Quatloo
ENRG,EnergyCoin
QRK,QuarkCoin
RIC,Riecoin
DGC,Digitalcoin
LIMX,LimeCoinX
BTB,BitBar
CAIX,CAIx
BTMK,BitMark
BUK,CryptoBuk
CACH,Cachecoin
CANN,CannabisCoin
CAP,BottleCaps
CASH,CashCoin
CATC,Catcoin
CCN,CannaCoin
CINNI,CINNICOIN
CXC,CheckCoin
CLAM,CLAMS
CLR,CopperLark
CMC,CosmosCoin
CNC,ChinaCoin
CNL,ConcealCoin
COMM,Community Coin
COOL,CoolCoin
CRACK,CrackCoin
CRYPT,CryptCoin
CSC,CasinoCoin
DEM,eMark
DIAM,Diamond
DRKC,DarkCash
DSB,DarkShibe
DEVCOIN,DevCoin
EFL,E-Gulden
ELC,Elacoin
EMD,Emerald
EXCL,Exclusive Coin
EXE,ExeCoin
EZC,EZCoin
FLAP,Flappy Coin
FC2,Fuel2Coin
FFC,FireflyCoin
FIBRE,FIBRE
FRC,FireRoosterCoin
FLT,FlutterCoin
FRK,Franko
FRAC,FractalCoin
FSTC,FastCoin
GLOBAL,GlobalCoin
GLX,GalaxyCoin
GLYPH,GlyphCoin
GML,GameLeagueCoin
GUE,GuerillaCoin
HAL,Halcyon
HBN,HoboNickels
HUC,HunterCoin
HVC,HeavyCoin
HYP,HyperStake
ICB,IceBergCoin
IFC,Infinite Coin
IXC,IXcoin
JBS,JumBucks Coin
JKC,JunkCoin
JUDGE,JudgeCoin
KDC,Klondike Coin
KEYC,KeyCoin
LK7,Lucky7Coin
LKY,LuckyCoin
LSD,LightSpeedCoin
LTB,Litebar
LTCD,LitecoinDark
LTCX,LitecoinX
LXC,LibrexCoin
LYC,LycanCoin
MAX,MaxCoin
MEC,MegaCoin
MEDIT,MediterraneanCoin
MINRL,Minerals Coin
MINTCOIN,MintCoin
MN,Cryptsy Mining Contract
MINC,MinCoin
MRY,MurrayCoin
MZC,MazaCoin
NAN,NanoToken
NAUT,Nautilus Coin
NYBBLE,Nybble
NET,NetCoin
NMB,Nimbus Coin
NRB,NoirBits
NOBL,NobleCoin
NRS,NoirShares
ORBITCOIN,Orbitcoin
OPSC,OpenSourceCoin
PHS,PhilosophersStone
POINTS,Cryptsy Points
PSEUD,PseudoCash
PXC,PhoenixCoin
PYC,PayCoin
RIPO,RipOffCoin
RPC,RonPaulCoin
RT2,RotoCoin
RYC,RoyalCoin
RZR,RazorCoin
SBC,StableCoin
SDC,ShadowCash
SFR,SaffronCoin
SHADE,ShadeCoin
SHLD,ShieldCoin
SILK,SilkCoin
SMC,SmartCoin
SOLE,SoleCoin
SPAIN,SpainCoin
SPOTS,Spots
SRC,SecureCoin
SSVCOIN,SSVCoin
SUPERC,SuperCoin
SWIFT,BitSwift
SYNCC,SyncCoin
TAK,TakCoin
TES,TeslaCoin
TGC,TigerCoin
TIT,TittieCoin
TRC,TerraCoin
TITC,TitCoin
ULTC,Umbrella
UNBREAKABLE,UnbreakableCoin
UNO,Unobtanium
URO,UroCoin
USDE,UnitaryStatus Dollar
UTC,UltraCoin
UTIL,Utility Coin
VDO,VidioCoin
VOOT,VootCoin
VRC,VeriCoin
WDC,WorldCoin
XBOT,SocialXbotCoin
XC,X11 Coin
XCR,Crypti
XJO,JouleCoin
XLB,LibertyCoin
XPM,PrimeCoin
XST,StealthCoin
XXX,XXXCoin
YAC,YAcCoin
ZCC,ZCC Coin
ZED,ZedCoins
EKN,Elektron
XAU,XauCoin
SIGNA,Signa
USNBT,NuBits
SJCX,StorjCoin
START,StartCoin
HUGE,BigCoin
MAID,MaidSafe Coin
007,007 coin
NSR,NuShares
SOLARFARM,SolarFarm
TEK,TekCoin
BAY,BitBay
NTRN,Neutron
SLING,Sling Coin
XVC,Vcash
CRAVE,CraveCoin
XSI,Stability Shares
BYC,ByteCent
GRIDCOIN,GridCoin
GEMZ,Gemz Social
KTK,KryptCoin
HZ,Horizon
FAIR,FairCoin
QORA,QoraCoin
RBY,RubyCoin
PTC,PesetaCoin
KOREC,Kore
WBB,Wild Beast Coin
SSD,Sonic Screw Driver Coin
XTC,TileCoin
MMXIV,MaieutiCoin
8BIT,8BIT Coin
STV,Sativa Coin
EBS,EbolaShare
AM,AeroMe
XMG,Coin Magi
AMBER,AmberCoin
NKT,NakomotoDark
J,JoinCoin
GHOSTCOIN,GhostCoin
ABY,ArtByte
LDOGE,LiteDoge
MTR,MasterTraderCoin
TRI,Triangles Coin
SWARM,SwarmCoin
BBR,Boolberry
BTCRY,BitCrystal
BCR,BitCredit
XPB,Pebble Coin
XDQ,Dirac Coin
FLDC,Folding Coin
SLR,SolarCoin
SMAC,Social Media Coin
TRK,TruckCoin
UIS,Unitus
CYP,CypherPunkCoin
UFOCOIN,Uniform Fiscal Object
ASN,Ascension Coin
OC,OrangeCoin
GSM,GSM Coin
FSC,FriendshipCoin
NXTTY,NXTTY
QBK,QuBuck Coin
BLC,BlakeCoin
MARYJ,MaryJane Coin
OMC,OmniCron
GIG,GigaCoin
LTBC,LTBCoin
NEOS,NeosCoin
HYPER,HyperCoin
METAL,MetalCoin
PINK,PinkCoin
GRE,GreenCoin
XG,XG Sports
CHILD,ChildCoin
BOOM,Boom Token
MINE,Instamine Nuggets
ROS,ROS Coin
UNAT,Unattanium
SLM,SlimCoin
GAIAPLATFORM,GAIA Platform
FCN,FantomCoin
CRYPTONITE,Cryptonite
CURE,Curecoin
GMC,Gridmaster
XBC,BitcoinPlus
CONS,ConSpiracy Coin
OCTOC,OctoCoin
MASTERCOIN,MasterCoin
EGGC,EggCoin
C2,Coin.2
GLOWSHA,GlowShares
CAMC,Camcoin
RBR,Ribbit Rewards
XQN,Quotient
ICASH,ICASH
SOON,SoonCoin
BTMI,BitMiles
EVENT,Event Token
1CR,1Credit
VIOR,ViorCoin
XCO,XCoin
VMC,VirtualMining Coin
MARSC,MarsCoin
VIRAL,Viral Coin
EQM,Equilibrium Coin
ISL,IslaCoin
QSLV,Quicksilver coin
XWT,World Trade Funds
XNA,DeOxyRibose
SKB,SkullBuzz
BSTY,GlobalBoost
FCS,CryptoFocus
GAM,Gambit coin
CESC,Crypto Escudo
TWLV,Twelve Coin
EAGS,EagsCoin
MLTC,MultiWallet Coin
ADC,AudioCoin
MARS,MarsCoin
XMS,Megastake
SPHR,Sphere Coin
SIGU,Singular
M1,SupplyShock
DB,DarkBit
CTO,Crypto
EDGE,EDGE
BITL,BitLux
FUTC,FutCoin
GLOBE,Global
MRP,MorpheusCoin
CREVA,Creva Coin
FOREVER,Forever Coin
NANAS,BananaBits
LOG,Wood Coin
XCE,Cerium
ACP,Anarchists Prime
DRZ,Droidz
BSC,BowsCoin
DRKT,DarkTron
CIRC,CryptoCircuits
NKA,IncaKoin
VERSA,Versa Token
EPY,Empyrean
SQL,Squall Coin
PIGGYCOIN,Piggy Coin
MIL,Milllionaire Coin
CRW,Crown Coin
GENSTAKE,Genstake
XPH,PharmaCoin
GRM,GridMaster
QTZ,Quartz
ARB,Arbit Coin
LTS,Litestar Coin
GOLDPIECES,GoldPieces
BITZ,Bitz Coin
DUB,DubCoin
GRAV,Graviton
BOBS,Bob's Repair
MNV,MonetaVerde
QCN,Quazar Coin
HEDGE,Hedgecoin
SONG,Song Coin
XSEED,BitSeeds
AXIOM,Axiom Coin
SMLY,SmileyCoin
RIMBIT,Rimbit
CHIP,Chip
UNC,UnCoin
SPRTS,Sprouts
ZNY,BitZeny
BTQ,BitQuark
PKB,ParkByte
SNRG,Synergy
GHOUL,Ghoul Coin
HNC,Hellenic Coin
DIGS,Diggits
GCR,Global Currency Reserve
MAPC,MapCoin
MI,XiaoMiCoin
PAYCON,Paycon
CLEVERCOIN,CleverCoin
LYB,LyraBar
PXI,Prime-X1
CPS,CapriCoin
AMS,Amsterdam Coin
OBITS,Obits Coin
CLUB,ClubCoin
VAL,Validity
EMC,Emercoin
BLITZ,BlitzCoin
BHIRE,BitHIRE
EVERGREEN,EverGreenCoin
MINDCOIN,MindCoin
I0C,I0coin
BTA,Bata
NAS2,Nas2Coin
PAK,Pakcoin
CRB,Creditbit
DOGED,DogeCoinDark
OK,OKCash
RVR,Revolution VR
HODL,HOdlcoin
EDRC,EDRCoin
THEDAO,The DAO
HTC,Hitcoin
GAMECRED,GameCredits
DSH,Dashcoin
DBIC,DubaiCoin
XHI,HiCoin
BIOS,BiosCrypto
CAB,CabbageUnit
CARPE,CarpeDiemCoin
GBT,GameBetCoin
RCX,RedCrowCoin
PWR,PWR Coin
TRUMP,TrumpCoin
PRM,PrismChain
BCY,BitCrystals
RBIES,Rubies
BLRY,BillaryCoin
DOTC,Dotcoin
SCOT,Scotcoin
CREED,Thecreed
POSTC,PostCoin
INFX,Influxcoin
ETHS,EthereumScrypt
PHALA,Phalanx
NUMBERS,NumbersCoin
GOST,SoulCoin
ION,Ionomy
GROW,GrownCoin
UNITY,SuperNET
OLDSF,OldSafeCoin
SSTC,SunShotCoin
NETC,NetworkCoin
GPU,GPU Coin
TAGR,Think And Get Rich Coin
HMP,HempCoin
ADZ,Adzcoin
GAPC,Gapcoin
IVZ,InvisibleCoin
SOIL,SoilCoin
YOC,YoCoin
VPRC,VapersCoin
APC,AlpaCoin
STEPS,Steps
DBTC,DebitCoin
UNIT,Universal Currency
AEON,AEON
MOIN,MoinCoin
ERC,EuropeCoin
AIB,AdvancedInternetBlock
PRIME,PrimeChain
BERN,BERNcash
BIGUP,BigUp
XRE,RevolverCoin
PEPE,Memetic
XDB,DragonSphere
ANTI,Anti Bitcoin
BRK,BreakoutCoin
COLX,ColossusCoinXT
MNM,Mineum
ZEIT,ZeitCoin
2GIVE,2GiveCoin
CGA,Cryptographic Anomaly
SWING,SwingCoin
NEBU,Nebuchadnezzar
AEC,AcesCoin
FRN,Francs
ADNT,Aiden
PULSE,Pulse
N7,Number7
CYG,Cygnus
LGBTQ,LGBTQoin
UTH,Uther
MPRO,MediumProject
KATZ,KATZcoin
SPM,Supreme
MOJO,Mojocoin
BELA,Bela
CFLASH,Flash
BOLI,BolivarCoin
CLUD,CludCoin
DIME,DimeCoin
FLYCOIN,FlyCoin
HVCO,High Voltage Coin
GIZ,GIZMOcoin
GREXIT,GrexitCoin
CARBON,Carboncoin
DEUR,DigiEuro
TUR,Turron
LEMON,LemonCoin
DISK,Dark Lisk
NEVA,NevaCoin
CYT,Cryptokenz
FUZZ,Fuzzballs
NKC,Nukecoinz
SECRT,SecretCoin
XNX,XanaxCoin
STHR,Stakerush
BONES,BonesCoin
WMC,WMCoin
GOTX,GothicCoin
FLVR,FlavorCoin
SHREK,ShrekCoin
RISEVISION,Rise
REVE,Revenu
PBC,PabyosiCoin
OBSCURE,Obscurebay
EDUC,EducoinV
CLINT,Clinton
CKC,Clockcoin
VIP,VIP Tokens
NXE,NXEcoin
ZOOM,ZoomCoin
DRACO,DT Token
YOVI,YobitVirtualCoin
ORLY,OrlyCoin
KUBOS,KubosCoin
INCP,InceptionCoin
SAK,SharkCoin
EVIL,EvilCoin
OMA,OmegaCoin
MUE,MonetaryUnit
BSEND,BitSend
DESTINY,Destiny
BIT16,16BitCoin
PDC,Project Decorum
CMTC,CometCoin
SPACECOIN,SpaceCoin
REE,ReeCoin
LQD,Liquid
MARV,Marvelous
VEC2,VectorCoin 2.0
OMNI,Omni
GSY,GenesysCoin
LIR,Let it Ride
MMNXT,MMNXT
SCRPT,ScryptCoin
SPCIE,Specie
CJ,CryptoJacks
PUT,PutinCoin
KRAK,Kraken
DLISK,Dlisk
STRAX,Stratis
VOYA,Voyacoin
ENTER,EnterCoin
BM,BitMoon
FRWC,Frankywillcoin
PSILOC,Psilocybin
XTREME,ExtremeCoin
RUST,RustCoin
NZC,NewZealandCoin
XAUR,Xaurum
BFX,BitFinex Tokens
UNIQ,Uniqredit
CRX,ChronosCoin
DCT,Decent
XPOKE,PokeChain
MUDRA,MudraCoin
WARP,WarpCoin
CNMT,Coinomat
PIZZACOIN,PizzaCoin
LUTETIUM,Lutetium Coin
HEAT,Heat Ledger
ICN,Iconomi
EXB,ExaByte (EXB)
CDEX,Cryptodex
RBIT,ReturnBit
DCS.,deCLOUDs
GB,GoldBlocks
SYNX,Syndicate
EDC,EDC Blockchain
JWL,Jewels
WAY,WayCoin
TAB,MollyCoin
TRIG,Trigger
BITCNY,bitCNY
BITUSD,bitUSD
ATMC,Autumncoin
STO,Save The Ocean
CARTERCOIN,CarterCoin
TOT,TotCoin
BTD,Bitcloud
BOTS,ArkDAO
MDC,MedicCoin
FTP,FuturePoints
ZET2,Zeta2Coin
CVNC,CovenCoin
KRB,Karbo
TELL,Tellurion
ENE,EneCoin
TDFB,TDFB
BLOCKPAY,BlockPay
BXT,BitTokens
ZYD,ZayedCoin
MUSTANGC,MustangCoin
GOON,Goonies
VLT,Veltor
ZNE,ZoneCoin
DCK,DickCoin
COVAL,Circuits of Value
DGDC,DarkGold
TODAY,TodayCoin
VRM,Verium
ROOT,RootCoin
1ST,FirstBlood
GPL,Gold Pressed Latinum
DOPE,DopeCoin
B3,B3 Coin
PIO,Pioneershares
PROUD,PROUD Money
SMSR,Samsara Coin
UBIQ,Ubiqoin
ARM,Armory Coin
ERB,ERBCoin
LAZ,Lazarus
FONZ,FonzieCoin
BTCR,BitCurrency
FCTC,FaucetCoin
SANDG,Save and Gain
PUNK,SteamPunk
MOOND,Dark Moon
SEN,Sentaro
SCN,Swiscoin
LTH,Lathaan
BRONZ,BitBronze
BUZZ,BuzzCoin
MINDGENE,Mind Gene
PSI,PSIcoin
XPO,Opair
NLC,NoLimitCoin
PESOBIT,PesoBit
XBTS,Beats
FITC,Fitcoin
PINKX,PantherCoin
FIRE,FireCoin
UNF,Unfed Coin
SPORT,SportsCoin
PPY,Peerplays
NTC,NineElevenTruthCoin
EGO,EGOcoin
RCOIN,RCoin
X2,X2Coin
MYCELIUM,Mycelium Token
TIA,Tianhe
GBRC,GBR Coin
UPCOIN,UPcoin
HALLO,Halloween Coin
BBCC,BaseballCardCoin
EMIGR,EmiratesGoldCoin
BIGHAN,BighanCoin
CRAFTCOIN,Craftcoin
INVIC,Invictus
OLYMP,OlympCoin
DPAY,DelightPay
HKG,Hacker Gold
ANTC,AntiLitecoin
JOBS,JobsCoin
DGORE,DogeGoreCoin
TETRA,Tetra
RMS,Resumeo Shares
FJC,FujiCoin
VAPOR,Vaporcoin
SDP,SydPakCoin
RRT,Recovery Right Tokens
PREM,Premium
CALC,CaliphCoin
LEA,LeaCoin
CF,Californium
CRNK,CrankCoin
COFFEECOIN,CoffeeCoin
VTY,Victoriouscoin
BS,BlackShadowCoin
JIF,JiffyCoin
CRAB,CrabCoin
HILL,President Clinton
MONETA,Moneta
ECLIP,Eclipse
RUBIT,Rublebit
HCC,HappyCreatorCoin
BRAIN,BrainCoin
VERTEX,Vertex
KRC,KRCoin
ROYAL,RoyalCoin
LFC,BigLifeCoin
ZUR,Zurcoin
NUBIS,NubisCoin
TENNET,Tennet
PEC,PeaceCoin
32BIT,32Bitcoin
GNJ,GanjaCoin V2
TEAM,TeamUP
SCT,ScryptToken
LANA,LanaCoin
ELE,Elementrem
GCC,GuccioneCoin
AND,AndromedaCoin
EQUAL,EqualCoin
SWEET,SweetStake
2BACCO,2BACCO Coin
DKC,DarkKnightCoin
CHOOF,ChoofCoin
CSH,CashOut
ZCL,ZClassic
RYCN,RoyalCoin 2.0
PCS,Pabyosi Coin
NBIT,NetBit
WINE,WineCoin
DARCRUS,Darcrus
IFLT,InflationCoin
ZECD,ZCashDarkCoin
ZXT,Zcrypt
WASH,WashingtonCoin
TESLA,TeslaCoilCoin
LUCKYB,LuckyBlocks
VSL,vSlice
TPG,Troll Payment
MIDN,Midnight
CBD,CBD Crystals
POSEX,PosEx
INSANE,InsaneCoin
PENC,PenCoin
BASH,LuckChain
FAMEC,FameCoin
LIV,LiviaCoin
SP,Sex Pistols
MEGA,MegaFlash
ALC,Arab League Coin
DOGETH,EtherDoge
KLC,KiloCoin
HUSH,Hush
BTLC,BitLuckCoin
DRM8,Dream8Coin
FIST,FistBump
EBZ,Ebitz
DRS,Digital Rupees
FGZ,Free Game Zone
BOSONC,BosonCoin
ATX,ArtexCoin
PNC,PlatiniumCoin
BRDD,BeardDollars
TIME,Chrono.tech
BIPC,BipCoin
EMBER,EmberCoin
BTTF,Coin to the Future
DLR,DollarOnline
CSMIC,Cosmic
JIO,JIO Token
IW,iWallet
JNS,Janus
TRICK,TrickyCoin
DCRE,DeltaCredits
FRE,FreeCoin
NPC,NPCcoin
PLNC,PLNCoin
DGMS,Digigems
ARCO,AquariusCoin
KURT,Kurrent
XCRE,Creatio
ENT,Eternity
UR,UR
MTLM3,Metal Music v3
EUC,Eurocoin
CCXC,CoolinDarkCoin
BCF,BitcoinFast
SEEDS,SeedShares
TKS,Tokes
BCCOIN,BitConnect Coin
SHORTY,ShortyCoin
PCM,Procom
KC,Kernalcoin
CORAL,CoralPay
BamitCoin,BAM
NXC,Nexium
MONEY,MoneyCoin
BSTAR,Blackstar
HSP,Horse Power
HZT,HazMatCoin
CRSP,CryptoSpots
XSPT,PoolStamp
CCRB,CryptoCarbon
BULLS,BullshitCoin
INCNT,Incent
ICON,Iconic
NIC,NewInvestCoin
ACN,AvonCoin
XNG,Enigma
XCI,Cannabis Industry Coin
LOOK,LookCoin
LOCO,Loco
MMXVI,MMXVI
TRST,TrustCoin
MISCOIN,MIScoin
WOP,WorldPay
CQST,ConquestCoin
IMPS,Impulse Coin
IN,InCoin
CHIEF,TheChiefCoin
GOAT,Goat
ANAL,AnalCoin
RC,Russiacoin
PND,PandaCoin
PX,PXcoin
OPTION,OptionCoin
AV,Avatar Coin
LTD,Limited Coin
UNITS,GameUnits
HEEL,HeelCoin
GAKH,GAKHcoin
GAIN,Gainfy
S8C,S88 Coin
LVG,Leverage Coin
DRA,DraculaCoin
ASAFE2,Allsafe
LTCR,LiteCreed
QBC,Quebecoin
XPRO,ProCoin
ASTRAL,Astral
GIFT,GiftNet
VIDZ,PureVidz
INC,Incrementum
PTA,PentaCoin
ACID,AcidCoin
ZLQ,ZLiteQubit
RADI,RadicalCoin
RNC,ReturnCoin
GOLOS,Golos
PASC,Pascal Coin
TWIST,TwisterCoin
PAYP,PayPeer
DETH,DarkEther
YAYCOIN,YAYcoin
LENIN,LeninCoin
MRSA,MrsaCoin
OS76,OsmiumCoin
BOSS,BitBoss
BIC,Bikercoins
CRPS,CryptoPennies
MOTO,Motocoin
NTCC,NeptuneClassic
HXX,HexxCoin
SPKTR,Ghost Coin
MAC,MachineCoin
SEL,SelenCoin
NOO,Noocoin
CHAO,23 Skidoo
XGB,GoldenBird
YMC,YamahaCoin
JOK,JokerCoin
GBIT,GravityBit
TEC,TeCoin
BOMBC,BombCoin
KED,Klingon Empire Darsek
CNO,Coino
WEALTH,WealthCoin
IOP,Internet of People
XSPEC,Spectre
PEPECASH,Pepe Cash
CLICK,Clickcoin
ELS,Elysium
KUSH,KushCoin
ERY,Eryllium
PLU,Pluton
PRES,President Trump
BTZ,BitzCoin
OPES,Opes
WCT,Waves Community Token
RATIO,Ratio
BANC,Babes and Nerds
NICEC,NiceCoin
SMF,SmurfCoin
CWXT,CryptoWorldXToken
TECH,TechCoin
CIR,CircuitCoin
LEPEN,LePenCoin
ROUND,RoundCoin
MARXCOIN,MarxCoin
HAZE,HazeCoin
PRX,Printerium
NRC,Neurocoin
IMPCH,Impeach
ERR,ErrorCoin
TIC,TrueInvestmentCoin
NUKE,NukeCoin
EOC,EveryonesCoin
SFC,Solarflarecoin
JANE,JaneCoin
PARANOIA,ParanoiaCoin
MASTERMINT,MasterMint
CTL,Citadel
NDOGE,NinjaDoge
ZILBERCOIN,Zilbercoin
FRST,FirstCoin
OROCOIN,OroCoin
ALEX,Alexandrite
TBCX,TrashBurn
MCAR,MasterCar
THS,TechShares
ACES,AcesCoin
UAEC,United Arab Emirates Coin
EA,EagleCoin
PIE,Persistent Information Exchange
WISC,WisdomCoin
BVC,BeaverCoin
FIND,FindCoin
MLITE,MeLite
STALIN,StalinCoin
TSE,TattooCoin
VLTC,VaultCoin
BIOB,BioBar
SWT,Swarm City Token
PASL,Pascal Lite
ZER,Zero
CHAT,OpenChat
CDN,Canada eCoin
NETKO,Netko
ZOI,Zoin
HONEY,Honey
MXTC,MartexCoin
DTB,Databits
VEG,BitVegan
MBIT,Mbitbooks
BITVOLT,BitVolt
EDG,Edgeless
B@,BankCoin
CHC,ChainCoin
ZENI,Zennies
PLANET,PlanetCoin
DUCKD,DuckDuckCoin
BNRTX,BnrtxCoin
BSTK,BattleStake
RNS,RenosCoin
DBIX,DubaiCoin
AMIS,AMIS
